skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auraevent4	auraeventfunc4	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	requirespettype	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	requiresweapon	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	periodicClearAura	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	calc7	*calc7desc	calc8	*calc8desc	calc9	*calc9desc	calc10	*calc10desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	Param13	*Param13Description	Param14	*Param14Description	Param15	*Param15Description	Param16	*Param16Description	Param17	*Param17Description	Param18	*Param18Description	Param19	*Param19Description	Param20	*Param20Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Defense Curse	309				30																		3		defense_curse	min(ln34,500)	ln12	skill_armor_percent	-ln56																																																																																		18	30						curseeffectred		cursecast										1	0		none													SC	SC	S2																														1															0	0									1	1																															3	Radius baseline	1	Radius per level	200	Duration baseline	75	Duration per level	50	Defense % baseline	5	Defense % per level																													1																																													0	0
Blood Mana	310				30																		3		blood_mana	ln34	ln12																																																																																				18	30						curseeffectred		cursecast										1	0		none													SC	SC	S2																														1															0	0									1	1																															3	Radius baseline	1	Radius per level	200	Duration baseline	75	Duration per level	40	Max HP Limit (If target HP reaches this value or lower, then remove the Curse)																															1								8		10	4	4	4	4	4	20	4	4	4	4	4																								0	0
FlameburstSentry	311														flameburst_spawn																																																																																																						flameburst_spawn													1	0		none													SQ	SQ	xx																														1															0	0									1	1																	par8+(skill('Flameburst Sentry'.blvl)/par6)	# of shots													0	Anim Frame Adder (Min=1)			40	Range (Duration of missile) baseline	0	Range (Duration of missile) per level			5	base levels to gain an additional shot			5	# of shots (must match Flameburst Sentryy Param1)																									1								8																																					0	0
mon death sentry	312				125													ds_swirl_spawn																																																																																														70						ds_swirl_spawn												1	0		none													SQ	SQ	xx																														1															0	0									1	1																	par8+(skill('Death Sentry'.blvl)/par6)	# of shots																							5	base levels to gain an additional shot			5	# of shots (must match Death Sentry Param1)																									1								8																																					0	0
sentry lightning	313				26													sentrylightningbolt	sentrylightningbolt	sentrylightningbolt							par1																																																																						sorceress_cast_lightning															27						sentrylightningbolt	sentrylightningbolt	sentrylightningbolt										1	0		none													SQ	SQ	xx	12																													1															0	0									1	1											par3	# of target jump hits					par8+(skill('Lightning Sentry'.blvl)/par6)	# of shots													12	Radius of jump to next target			10	# of target jump					5	base levels to gain an additional shot			5	# of shots (must match Lightning Sentry Param1)																									1								8																																					0	0
fenris rage	314				137																			fenris_rage		par1		damagepercent	par2																																																																								necromancer_corpseexp_1										51	79						corpseexplosion												1	0		none													A1	A1	A1											1									1										1															0	0									1	1																															500	Duration	100	Damage %																																					1								8																																					0	0
Baal Tentacle	315				140																																																																																																																													1	0		none													S2	S2	S2				1																										1															0	0									1	1																																																																							1																																													0	0
Baal Nova	316				22													baal nova																																																																															baal_novacast											fire_cast_2				25						baal nova				0	Missile Velocity Adder							1	0		none													S3	S3	S3																														1															0	0									1	1											0	Missile Velocity Adder																																																											1								8															fire	50	24	32	32	32	32	75	24	32	32	32	32										0	0
Baal Inferno	317			53	95													baal inferno																																																																															baal_missilecast															54						baal inferno												1	0		none													SQ	SQ	xx																														1															0	0									1	1											0	Missile Range (If 0, then use Missile Param2)	par1	Anim Frame Adder (Min=1)	2	Anim Frame Density (Min=1)															20	Anim Frame Adder (Min=1)																																							1								5															mag	64	48	48	48	48	48	96	48	48	48	48	48										0	0
Baal Cold Missiles	318				139													baal cold maker																																																																															baal_coldtrailcast															81						baal cold maker												1	0		none													A1	A1	A1				1																										1															0	0									1	1																																																																							1								8															cold	20	9	13	13	13	13	40	9	13	13	13	13		200	50	50	50					0	0
MegademonInferno	319			53	95													megademoninferno																																																																																														54						fetishinferno1	fetishinferno2											1	0		none													SQ	SQ	S1																														1															0	0									1	1											0	Missile Range (If 0, then use Missile Param2)	par1	Anim Frame Adder (Min=1)	2	Anim Frame Density (Min=1)															15	Anim Frame Adder (Min=1)																																							1								8																																					0	0
EvilHutSpawner	320			49	91																	spawnedflames																																																																																									36	50																		1	0		none													SQ	SQ	xx																														1															0	0									1	1																																																																							1								8																																					0	0
CountessFirewall	321				24													countessfirewallmaker	countessfirewall																																																																														sorceress_cast_fire															26						countessfirewallmaker												1	0		none													SQ	SQ	A1																														1															0	0									1	1											par1	# of max Fire Walls (oldest is removed when the limit is hit)																			0	# of max Fire Walls (oldest is removed when the limit is hit)																																							1																																													0	0
ImpBolt	322				17													imp charged bolt																																																																																														23						imp charged bolt												1	0		none													SQ	SQ	A1																														1															0	0									1	1											lvl+2	# of Bolt Missiles created																																																											1								8																																					0	0
Horror Arctic Blast	323			53	95													frozenhorror arcticblast1																																																																																														54						frozenhorror arcticblast1	frozenhorror arcticblast1											1	0		none													SQ	SQ	xx	18																													1															0	0									1	1											0	Missile Range (If 0, then use Missile Param2)	par1	Anim Frame Adder (Min=1)	2	Anim Frame Density (Min=1)															15	Anim Frame Adder (Min=1)																																							1								8																																					0	0
death sentry ltng	324														sentrylightningbolt2																																																																																																						sentrylightningbolt2													1	0		none													SQ	SQ	xx																				1										1															0	0									1	1																																													7	# of shots (must match Death Sentry Param1)																									1								8																																					0	0
VineCycler	325			63														vine recycler delay									10																																																																																				49			93				vine beast attack	recycler delay											1	0		none													SQ	SQ	S1				1							1																			1															0	0									1	1											dm12	Manasteal %					5	Frames to apply aura to target (Min=5)													1	Manasteal % Min (must match Vines Param5)	8	Manasteal % Max (must match Vines Param6)																																					1								8																																					0	0
BearSmite	326			32	2																																																																																												druidbear_attack_1																																	1	9		h2h													S1	S1	xx				1		1	1																							1															0	0										1											ln34	Damage %	max(250,ln12)	Stun Length	0	Attack Speed %	0	% Damage Dealt as Elemental (Used only if there is an Etype)													15	Stun Length baseline	5	Stun Length per level	15	Damage % baseline	15	Damage % per level																																	1				8				8	128																																				0	0
Resurrect2	327				97																																																																																																							healing			39																			1	0		none													SQ	SQ	xx							1	1	1		1					1														1															0	0									1	1																																																																							1																																													0	0
BloodLordFrenzy	328			67	9																			monfrenzy		ln12		velocitypercent	dm34	attackrate	dm34	other_animrate	dm34																																																																weapon_giant_1		1		weapon_giant_1																													1	3		none													SQ	SQ	A2				1		1	1																							1															0	0									1	1											0	Damage %					0	% Damage Dealt as Elemental (Used only if there is an Etype)													200	Duration baseline	25	Duration per level	30	Speed % Min	110	Speed % Max																																	1	10	10						8	128																																				0	0
Baal Teleport	329				98																																																																																																										48	73							baalteleport											1	0		none													SQ	SQ	S1				1																										1															0	0									1	1																																																																							1								8																																					0	0
Imp Teleport	330				129																			attached																																																																									sorceress_teleport														48	74						imp teleport	imp teleport											1	0		none													SQ	SQ	S1				1																										1															0	0									1	1																																																																							1								8																																					0	0
Baal Clone Teleport	331				98																																																																																																										48	73						baalclonedeath	baalteleport											1	0		none													SQ	SQ	S1				1																										1															0	0									1	1																																																																							1								8																																					0	0
ZakarumLightning	332														monsterlight																																																																																		sorceress_cast_lightning											light_cast_1									monsterlight													1	0		none													SQ	SQ	S1																														1															0	0									1	1																																																																							1								8																																					0	0
